LAD21CD,LAD21NM,Accommodation_and_Food,Arts_and_Recreation,Financial_Institutions,Healthcare_Centers,Information_and_Communication,Other,Personal_and_Household_Svcs,Retail,Transportation_Facilities
E06000001,Hartlepool,182.0,58.0,37.0,32.0,248.0,429.0,48.0,129.0,1.0
E06000002,Middlesbrough,104.0,63.0,22.0,32.0,99.0,92.0,18.0,139.0,8.0
E06000003,Redcar and Cleveland,126.0,123.0,28.0,26.0,204.0,392.0,23.0,103.0,1.0
E06000004,Stockton-on-Tees,199.0,112.0,25.0,43.0,166.0,348.0,47.0,195.0,6.0
E06000005,Darlington,267.0,58.0,21.0,39.0,200.0,305.0,138.0,225.0,9.0
E06000006,Halton,81.0,69.0,18.0,24.0,249.0,350.0,16.0,36.0,1.0
E06000007,Warrington,202.0,146.0,38.0,47.0,614.0,1421.0,90.0,132.0,14.0
E06000008,Blackburn with Darwen,107.0,49.0,26.0,27.0,113.0,103.0,50.0,94.0,0.0
E06000009,Blackpool,964.0,70.0,9.0,109.0,209.0,72.0,67.0,220.0,2.0
E06000010,"Kingston upon Hull, City of",182.0,220.0,18.0,55.0,409.0,193.0,20.0,98.0,1.0
E06000011,East Riding of Yorkshire,522.0,370.0,53.0,100.0,1148.0,876.0,36.0,224.0,9.0
E06000012,North East Lincolnshire,288.0,64.0,34.0,68.0,222.0,182.0,79.0,297.0,2.0
E06000013,North Lincolnshire,172.0,161.0,20.0,23.0,190.0,138.0,17.0,107.0,1.0
E06000014,York,833.0,293.0,93.0,119.0,1160.0,1917.0,203.0,500.0,40.0
E06000015,Derby,437.0,169.0,103.0,93.0,383.0,1167.0,155.0,404.0,25.0
E06000016,Leicester,456.0,116.0,82.0,79.0,339.0,394.0,74.0,263.0,35.0
E06000017,Rutland,107.0,74.0,2.0,21.0,107.0,128.0,19.0,64.0,3.0
E06000018,Nottingham,812.0,362.0,141.0,149.0,682.0,1486.0,304.0,656.0,67.0
E06000019,"Herefordshire, County of",289.0,297.0,41.0,40.0,921.0,362.0,40.0,155.0,68.0
E06000020,Telford and Wrekin,244.0,101.0,31.0,50.0,151.0,322.0,51.0,133.0,9.0
E06000021,Stoke-on-Trent,191.0,123.0,29.0,45.0,184.0,381.0,47.0,131.0,1.0
E06000022,Bath and North East Somerset,312.0,160.0,54.0,50.0,520.0,2115.0,50.0,97.0,12.0
E06000023,"Bristol, City of",295.0,718.0,169.0,53.0,1297.0,3294.0,61.0,194.0,271.0
E06000024,North Somerset,219.0,298.0,34.0,34.0,468.0,776.0,42.0,130.0,22.0
E06000025,South Gloucestershire,149.0,240.0,55.0,40.0,783.0,1897.0,38.0,138.0,2.0
E06000026,Plymouth,209.0,131.0,98.0,52.0,618.0,2391.0,44.0,149.0,110.0
E06000027,Torbay,406.0,87.0,41.0,58.0,355.0,967.0,60.0,233.0,6.0
E06000030,Swindon,334.0,178.0,42.0,70.0,346.0,736.0,90.0,288.0,25.0
E06000031,Peterborough,237.0,128.0,53.0,49.0,273.0,541.0,60.0,202.0,18.0
E06000032,Luton,414.0,35.0,30.0,85.0,228.0,244.0,187.0,475.0,4.0
E06000033,Southend-on-Sea,317.0,39.0,46.0,51.0,169.0,358.0,69.0,192.0,15.0
E06000034,Thurrock,168.0,90.0,34.0,44.0,167.0,174.0,43.0,156.0,3.0
E06000035,Medway,357.0,145.0,62.0,94.0,505.0,530.0,97.0,304.0,12.0
E06000036,Bracknell Forest,111.0,73.0,24.0,30.0,141.0,276.0,31.0,97.0,0.0
E06000037,West Berkshire,150.0,179.0,21.0,26.0,421.0,752.0,32.0,111.0,17.0
E06000038,Reading,439.0,150.0,66.0,63.0,331.0,918.0,169.0,341.0,41.0
E06000039,Slough,199.0,13.0,11.0,49.0,43.0,54.0,79.0,198.0,9.0
E06000040,Windsor and Maidenhead,256.0,173.0,23.0,65.0,237.0,428.0,78.0,193.0,5.0
E06000041,Wokingham,132.0,50.0,24.0,28.0,292.0,599.0,30.0,80.0,4.0
E06000042,Milton Keynes,516.0,399.0,92.0,109.0,595.0,953.0,156.0,384.0,44.0
E06000043,Brighton and Hove,1183.0,239.0,69.0,99.0,564.0,1403.0,204.0,619.0,154.0
E06000044,Portsmouth,581.0,150.0,107.0,73.0,424.0,509.0,124.0,370.0,38.0
E06000045,Southampton,250.0,114.0,69.0,38.0,412.0,685.0,92.0,206.0,44.0
E06000046,Isle of Wight,636.0,332.0,73.0,159.0,1232.0,1490.0,192.0,476.0,84.0
E06000047,County Durham,832.0,737.0,109.0,181.0,1614.0,4969.0,292.0,646.0,101.0
E06000049,Cheshire East,753.0,340.0,99.0,153.0,1038.0,1908.0,364.0,554.0,28.0
E06000050,Cheshire West and Chester,537.0,391.0,93.0,82.0,990.0,1264.0,178.0,395.0,34.0
E06000051,Shropshire,756.0,574.0,61.0,97.0,1193.0,990.0,203.0,475.0,18.0
E06000052,Cornwall,1534.0,1217.0,129.0,153.0,2812.0,4959.0,187.0,850.0,144.0
E06000053,Isles of Scilly,29.0,33.0,0.0,1.0,32.0,73.0,5.0,24.0,4.0
E06000054,Wiltshire,636.0,1169.0,80.0,119.0,1667.0,1349.0,117.0,324.0,20.0
E06000055,Bedford,364.0,100.0,42.0,52.0,381.0,323.0,112.0,237.0,2.0
E06000056,Central Bedfordshire,487.0,213.0,42.0,75.0,619.0,868.0,133.0,274.0,5.0
E06000057,Northumberland,749.0,596.0,83.0,142.0,1889.0,2165.0,219.0,519.0,24.0
E06000058,"Bournemouth, Christchurch and Poole",496.0,146.0,71.0,77.0,822.0,1518.0,249.0,346.0,363.0
E06000059,Dorset,617.0,701.0,62.0,76.0,1704.0,2039.0,89.0,329.0,101.0
E06000060,Buckinghamshire,840.0,496.0,143.0,209.0,1675.0,3705.0,331.0,694.0,18.0
E06000061,North Northamptonshire,551.0,241.0,49.0,136.0,656.0,1013.0,208.0,425.0,14.0
E06000062,West Northamptonshire,819.0,289.0,57.0,177.0,1052.0,836.0,209.0,522.0,12.0
E07000008,Cambridge,449.0,299.0,51.0,79.0,294.0,1630.0,129.0,334.0,14.0
E07000009,East Cambridgeshire,140.0,111.0,19.0,26.0,255.0,406.0,43.0,80.0,0.0
E07000010,Fenland,92.0,55.0,9.0,14.0,176.0,105.0,16.0,50.0,0.0
E07000011,Huntingdonshire,263.0,272.0,34.0,64.0,503.0,640.0,57.0,170.0,8.0
E07000012,South Cambridgeshire,164.0,361.0,22.0,51.0,1911.0,1611.0,38.0,107.0,5.0
E07000026,Allerdale,391.0,187.0,27.0,30.0,696.0,644.0,94.0,170.0,18.0
E07000027,Barrow-in-Furness,76.0,33.0,22.0,16.0,101.0,303.0,24.0,59.0,6.0
E07000028,Carlisle,237.0,141.0,27.0,37.0,422.0,342.0,48.0,158.0,5.0
E07000029,Copeland,144.0,118.0,18.0,19.0,308.0,279.0,48.0,81.0,5.0
E07000030,Eden,249.0,255.0,25.0,26.0,773.0,1187.0,43.0,145.0,9.0
E07000031,South Lakeland,586.0,374.0,53.0,70.0,1194.0,1639.0,118.0,382.0,59.0
E07000032,Amber Valley,162.0,119.0,30.0,35.0,464.0,599.0,59.0,107.0,12.0
E07000033,Bolsover,88.0,97.0,9.0,16.0,385.0,541.0,20.0,70.0,0.0
E07000034,Chesterfield,202.0,53.0,20.0,29.0,259.0,505.0,93.0,148.0,9.0
E07000035,Derbyshire Dales,363.0,350.0,15.0,34.0,817.0,1192.0,43.0,146.0,13.0
E07000036,Erewash,72.0,82.0,46.0,15.0,235.0,1011.0,25.0,55.0,19.0
E07000037,High Peak,230.0,142.0,21.0,31.0,420.0,784.0,34.0,102.0,6.0
E07000038,North East Derbyshire,81.0,87.0,9.0,13.0,543.0,460.0,19.0,51.0,0.0
E07000039,South Derbyshire,93.0,99.0,11.0,24.0,277.0,1237.0,25.0,47.0,6.0
E07000040,East Devon,356.0,330.0,23.0,52.0,685.0,1218.0,80.0,252.0,5.0
E07000041,Exeter,305.0,111.0,43.0,46.0,314.0,702.0,96.0,248.0,13.0
E07000042,Mid Devon,135.0,135.0,12.0,28.0,294.0,213.0,39.0,82.0,3.0
E07000043,North Devon,248.0,196.0,16.0,15.0,411.0,840.0,14.0,89.0,36.0
E07000044,South Hams,129.0,187.0,19.0,26.0,523.0,962.0,17.0,74.0,2.0
E07000045,Teignbridge,312.0,284.0,31.0,43.0,614.0,773.0,20.0,124.0,7.0
E07000046,Torridge,124.0,112.0,12.0,10.0,273.0,576.0,6.0,61.0,8.0
E07000047,West Devon,158.0,314.0,14.0,17.0,482.0,318.0,13.0,67.0,5.0
E07000061,Eastbourne,71.0,23.0,25.0,13.0,216.0,224.0,7.0,26.0,35.0
E07000062,Hastings,93.0,56.0,15.0,19.0,212.0,249.0,25.0,53.0,8.0
E07000063,Lewes,120.0,107.0,16.0,23.0,365.0,338.0,24.0,84.0,3.0
E07000064,Rother,153.0,159.0,30.0,15.0,505.0,1147.0,26.0,89.0,34.0
E07000065,Wealden,113.0,153.0,18.0,34.0,909.0,494.0,30.0,71.0,11.0
E07000066,Basildon,79.0,37.0,15.0,28.0,126.0,365.0,16.0,98.0,2.0
E07000067,Braintree,125.0,98.0,18.0,23.0,291.0,176.0,15.0,105.0,1.0
E07000068,Brentwood,54.0,38.0,13.0,13.0,71.0,115.0,22.0,44.0,0.0
E07000069,Castle Point,17.0,28.0,1.0,6.0,24.0,46.0,8.0,10.0,1.0
E07000070,Chelmsford,150.0,230.0,50.0,44.0,282.0,537.0,63.0,110.0,2.0
E07000071,Colchester,178.0,118.0,40.0,36.0,388.0,502.0,66.0,91.0,1.0
E07000072,Epping Forest,159.0,110.0,18.0,35.0,242.0,294.0,72.0,95.0,3.0
E07000073,Harlow,75.0,120.0,13.0,20.0,45.0,160.0,16.0,107.0,1.0
E07000074,Maldon,32.0,31.0,11.0,10.0,103.0,121.0,9.0,13.0,0.0
E07000075,Rochford,83.0,17.0,11.0,19.0,95.0,104.0,26.0,69.0,5.0
E07000076,Tendring,70.0,77.0,40.0,5.0,360.0,622.0,12.0,44.0,1.0
E07000077,Uttlesford,119.0,149.0,26.0,21.0,383.0,447.0,14.0,64.0,13.0
E07000078,Cheltenham,206.0,256.0,41.0,62.0,359.0,1313.0,119.0,180.0,102.0
E07000079,Cotswold,228.0,284.0,19.0,33.0,696.0,638.0,52.0,185.0,10.0
E07000080,Forest of Dean,167.0,187.0,11.0,24.0,332.0,346.0,41.0,96.0,1.0
E07000081,Gloucester,167.0,83.0,33.0,36.0,238.0,590.0,84.0,185.0,7.0
E07000082,Stroud,160.0,233.0,28.0,24.0,626.0,828.0,44.0,108.0,4.0
E07000083,Tewkesbury,126.0,104.0,20.0,30.0,365.0,502.0,44.0,94.0,1.0
E07000084,Basingstoke and Deane,200.0,226.0,35.0,53.0,451.0,650.0,40.0,148.0,5.0
E07000085,East Hampshire,114.0,199.0,21.0,32.0,471.0,458.0,23.0,104.0,22.0
E07000086,Eastleigh,132.0,76.0,29.0,31.0,251.0,423.0,64.0,90.0,20.0
E07000087,Fareham,96.0,27.0,29.0,15.0,208.0,185.0,26.0,58.0,0.0
E07000088,Gosport,142.0,34.0,14.0,27.0,114.0,70.0,40.0,85.0,0.0
E07000089,Hart,83.0,97.0,17.0,25.0,413.0,428.0,36.0,61.0,4.0
E07000090,Havant,184.0,60.0,48.0,41.0,247.0,368.0,71.0,130.0,8.0
E07000091,New Forest,283.0,176.0,37.0,57.0,781.0,785.0,96.0,163.0,17.0
E07000092,Rushmoor,119.0,88.0,28.0,27.0,164.0,613.0,27.0,126.0,9.0
E07000093,Test Valley,139.0,165.0,15.0,30.0,403.0,566.0,39.0,96.0,1.0
E07000094,Winchester,201.0,246.0,24.0,29.0,496.0,660.0,27.0,126.0,6.0
E07000095,Broxbourne,51.0,45.0,11.0,15.0,82.0,374.0,13.0,26.0,1.0
E07000096,Dacorum,191.0,102.0,32.0,32.0,358.0,531.0,69.0,147.0,4.0
E07000098,Hertsmere,135.0,49.0,24.0,25.0,122.0,308.0,56.0,85.0,26.0
E07000099,North Hertfordshire,169.0,125.0,21.0,31.0,572.0,601.0,30.0,86.0,3.0
E07000102,Three Rivers,86.0,54.0,10.0,30.0,124.0,371.0,41.0,64.0,6.0
E07000103,Watford,137.0,37.0,23.0,33.0,92.0,147.0,29.0,104.0,72.0
E07000105,Ashford,233.0,128.0,26.0,48.0,356.0,333.0,41.0,214.0,4.0
E07000106,Canterbury,168.0,119.0,39.0,28.0,475.0,826.0,35.0,110.0,4.0
E07000107,Dartford,100.0,76.0,22.0,28.0,211.0,426.0,34.0,186.0,9.0
E07000108,Dover,222.0,132.0,17.0,28.0,403.0,340.0,34.0,111.0,11.0
E07000109,Gravesham,207.0,58.0,18.0,26.0,215.0,485.0,28.0,146.0,15.0
E07000110,Maidstone,232.0,91.0,26.0,38.0,411.0,264.0,38.0,145.0,12.0
E07000111,Sevenoaks,192.0,158.0,18.0,42.0,406.0,611.0,31.0,114.0,0.0
E07000112,Folkestone and Hythe,203.0,338.0,29.0,27.0,455.0,1027.0,39.0,137.0,32.0
E07000113,Swale,211.0,47.0,25.0,44.0,344.0,325.0,43.0,100.0,0.0
E07000114,Thanet,284.0,96.0,29.0,15.0,317.0,366.0,35.0,93.0,3.0
E07000115,Tonbridge and Malling,174.0,93.0,23.0,23.0,334.0,276.0,47.0,86.0,3.0
E07000116,Tunbridge Wells,189.0,101.0,22.0,38.0,338.0,306.0,41.0,124.0,1.0
E07000117,Burnley,48.0,21.0,7.0,4.0,103.0,37.0,3.0,15.0,1.0
E07000118,Chorley,262.0,78.0,32.0,65.0,255.0,222.0,103.0,155.0,6.0
E07000119,Fylde,238.0,45.0,14.0,42.0,167.0,86.0,42.0,111.0,3.0
E07000120,Hyndburn,98.0,13.0,5.0,18.0,67.0,34.0,35.0,61.0,0.0
E07000121,Lancaster,382.0,172.0,65.0,66.0,576.0,2395.0,197.0,263.0,71.0
E07000122,Pendle,69.0,44.0,7.0,9.0,98.0,102.0,11.0,41.0,1.0
E07000123,Preston,268.0,72.0,40.0,63.0,186.0,149.0,78.0,183.0,2.0
E07000124,Ribble Valley,178.0,81.0,10.0,27.0,205.0,209.0,49.0,89.0,4.0
E07000125,Rossendale,46.0,20.0,5.0,8.0,45.0,41.0,9.0,7.0,0.0
E07000126,South Ribble,167.0,29.0,29.0,49.0,158.0,304.0,88.0,125.0,3.0
E07000127,West Lancashire,148.0,59.0,18.0,41.0,183.0,360.0,66.0,105.0,4.0
E07000128,Wyre,327.0,70.0,16.0,75.0,254.0,374.0,97.0,216.0,4.0
E07000129,Blaby,148.0,44.0,20.0,47.0,97.0,105.0,66.0,114.0,3.0
E07000130,Charnwood,325.0,169.0,34.0,57.0,295.0,525.0,85.0,206.0,5.0
E07000131,Harborough,176.0,74.0,9.0,25.0,212.0,214.0,48.0,122.0,0.0
E07000132,Hinckley and Bosworth,123.0,53.0,16.0,18.0,149.0,159.0,29.0,73.0,3.0
E07000133,Melton,139.0,46.0,8.0,18.0,180.0,112.0,29.0,75.0,3.0
