LAD21CD,LAD21NM,Agricultural_and_Rural,Natural_Ecological_and_Public,Residential_and_Commercial
E06000001,Hartlepool,0.574072939491922,0.17466720459374968,0.25125985591432853
E06000002,Middlesbrough,0.28222488001319995,0.1254262329761846,0.5923488870106155
E06000003,Redcar and Cleveland,0.09239187984962906,0.6278638529642547,0.2797442671861163
E06000004,Stockton-on-Tees,0.5914869055691486,0.157773892080796,0.25073920235005526
E06000005,Darlington,0.7644216260925624,0.07260937831739801,0.16296899559003955
E06000006,Halton,0.37521182893864286,0.19989018284699647,0.4248979882143607
E06000007,Warrington,0.4492997908239437,0.24063710377251407,0.31006310540354215
E06000008,Blackburn with Darwen,0.2834297538716926,0.5421201981801644,0.174450047948143
E06000009,Blackpool,0.07492342124957636,0.12830026669743005,0.7967763120529936
E06000010,"Kingston upon Hull, City of",0.024183639547097204,0.14356479279947362,0.8322515676534292
E06000011,East Riding of Yorkshire,0.8494980094727227,0.0892611532017768,0.061231814916283
E06000012,North East Lincolnshire,0.39614427880835257,0.14770145150237093,0.45615426968927647
E06000013,North Lincolnshire,0.5867431490138437,0.24640675485168106,0.16685009613447518
E06000014,York,0.6810166443075715,0.1776483886155274,0.14133496707690107
E06000015,Derby,0.09708637978291007,0.20973809091400433,0.6931755293030857
E06000016,Leicester,0.07922332784233015,0.2493246517131533,0.6714520204445165
E06000017,Rutland,0.7056914788265631,0.2288548851542354,0.06545363601920141
E06000018,Nottingham,0.08583523975914754,0.24002678703138108,0.6741379732094714
E06000019,"Herefordshire, County of",0.7642234225622526,0.19432245918103405,0.041285100622247155
E06000020,Telford and Wrekin,0.5941384493233847,0.18944698639300345,0.21618692117066063
E06000021,Stoke-on-Trent,0.09525096239014715,0.2961907825186319,0.608558255091221
E06000022,Bath and North East Somerset,0.571144089036983,0.2728851248532684,0.15578935827516657
E06000023,"Bristol, City of",0.05501776492509248,0.3218975602282975,0.62308467484661
E06000024,North Somerset,0.5086324490041294,0.3141013619068141,0.1772134675770701
E06000025,South Gloucestershire,0.6278768490334584,0.1850308183335751,0.18705421645658232
E06000026,Plymouth,0.1466585677750763,0.2808191419812967,0.5725222902436269
E06000027,Torbay,0.07284697462585683,0.8545223480925197,0.07263067728162341
E06000030,Swindon,0.6281038817910942,0.17424409959552142,0.19765201861338436
E06000031,Peterborough,0.6693793014168687,0.1899363928819736,0.1406843057011577
E06000032,Luton,0.1287792147941997,0.19739039899428665,0.6738303862115136
E06000033,Southend-on-Sea,0.8366299066165306,0.025955156548563292,0.13741493683490616
E06000034,Thurrock,0.44663028918274644,0.27226528012586454,0.2811044306913891
E06000035,Medway,0.37869438140430306,0.2758269265759672,0.3380595083195442
E06000036,Bracknell Forest,0.25662520206127243,0.46379568675971644,0.2795406154359686
E06000037,West Berkshire,0.4333379840197486,0.4189236287491353,0.14674471376871134
E06000038,Reading,0.08495257361767133,0.17908159350626385,0.7359658328760647
E06000039,Slough,0.11315564926718225,0.3466201417945681,0.5402242089382496
E06000040,Windsor and Maidenhead,0.4161717259629985,0.3707477380345038,0.21308053600249763
E06000041,Wokingham,0.35476757836274386,0.2658774301703652,0.37868119298192393
E06000042,Milton Keynes,0.3349064706298425,0.33728502737701926,0.3277583943590576
E06000043,Brighton and Hove,0.32075839711942705,0.21860420500331615,0.4606373978772569
E06000044,Portsmouth,0.10258615588958403,0.24941445214566388,0.6479993919647522
E06000045,Southampton,0.016488567357963287,0.3109414217733193,0.6725700108687175
E06000046,Isle of Wight,0.5958677429030153,0.2927974984973495,0.11081599876902162
E06000047,County Durham,0.30923355697925714,0.6462675996920246,0.04449884332871824
E06000049,Cheshire East,0.4254825613442151,0.3481146991630295,0.22640273949275536
E06000050,Cheshire West and Chester,0.5856114750271288,0.18739073864945383,0.2269977863234174
E06000051,Shropshire,0.7554974063672522,0.19567590772902183,0.048770239659799104
E06000052,Cornwall,0.5778750654575505,0.32378172118483217,0.09825103120193322
E06000053,Isles of Scilly,0.4851244801369953,0.46576721624231787,0.04749652338509939
E06000054,Wiltshire,0.6687036337743889,0.26914925612306906,0.06207481847963936
E06000055,Bedford,0.6370011210639697,0.19767178673769198,0.1653270921983384
E06000056,Central Bedfordshire,0.5854689709022223,0.22626197908370885,0.18809209236035565
E06000057,Northumberland,0.3943640416923108,0.5881813253625392,0.017454632945149977
E06000058,"Bournemouth, Christchurch and Poole",0.10399319106508995,0.3971850734039028,0.4988217355310073
E06000059,Dorset,0.3074266176468561,0.6531294127103179,0.039349654358110005
E06000060,Buckinghamshire,0.6596580279572462,0.21867061191869222,0.12154179703013658
E06000061,North Northamptonshire,0.6097208294850512,0.23306013182689486,0.1571943966111791
E06000062,West Northamptonshire,0.5779729181459079,0.22887290899303459,0.19312709528450575
E07000008,Cambridge,0.2501841265061293,0.27952562208687426,0.47029025140699643
E07000009,East Cambridgeshire,0.8713096615635298,0.08495052789336249,0.043739810543107736
E07000010,Fenland,0.8657704061520993,0.08311148881111853,0.051118105036782116
E07000011,Huntingdonshire,0.7947046429520789,0.15504605620609466,0.050249300841826584
E07000012,South Cambridgeshire,0.84833482835163,0.09153401407347403,0.06002044176551941
E07000026,Allerdale,0.05378478576193737,0.9198375017966618,0.02637084735047005
E07000027,Barrow-in-Furness,0.38753477124887065,0.46877914944284543,0.14368607930828395
E07000028,Carlisle,0.19600226597958698,0.7785329299700601,0.025464804050352844
E07000029,Copeland,0.07435506754948909,0.8974621339549081,0.028182798495602714
E07000030,Eden,0.05998684754713897,0.9329481573066725,0.00706499514618878
E07000031,South Lakeland,0.11997655030380322,0.8614954681703504,0.01852798152584633
E07000032,Amber Valley,0.24153416155722315,0.3464415469694141,0.41202429147336284
E07000033,Bolsover,0.33648083977404647,0.38647004046143046,0.277049119764523
E07000034,Chesterfield,0.22531444320301527,0.23211351260558075,0.5425720441914041
E07000035,Derbyshire Dales,0.23293959786585522,0.6750594943605375,0.09196111589064024
E07000036,Erewash,0.3000886109917568,0.20153710582337234,0.4983742831848709
E07000037,High Peak,0.10079754010225714,0.8541684433973916,0.04503401650035115
E07000038,North East Derbyshire,0.3452174205393608,0.4432423913744948,0.21145580663314345
E07000039,South Derbyshire,0.4564074500516952,0.24145487614300284,0.30213767380530204
E07000040,East Devon,0.35277095379564344,0.5856162484703369,0.061393883591863395
E07000041,Exeter,0.12828373489505068,0.3129950975492973,0.5587211675556522
E07000042,Mid Devon,0.605896132288739,0.3346488323215285,0.059259845682792904
E07000043,North Devon,0.47447855491559854,0.47515972528809886,0.050361719796302565
E07000044,South Hams,0.48049748955584143,0.4856546739922404,0.033580612049983895
E07000045,Teignbridge,0.38689672453267576,0.5327351227122679,0.07991752472280571
E07000046,Torridge,0.21523429433079133,0.7045333009605741,0.08007924468365255
E07000047,West Devon,0.21516317992675296,0.7653369234498104,0.019473077593757368
E07000061,Eastbourne,0.009698636060126078,0.2703725019181321,0.7199288620217418
E07000062,Hastings,0.05389449749114503,0.4671419752417795,0.47896352726707553
E07000063,Lewes,0.5496359448179405,0.25970114378467074,0.18810489228339441
E07000064,Rother,0.24786580112462675,0.6064098430911791,0.14286535433021078
E07000065,Wealden,0.24696335792621257,0.6002056455214032,0.1515940605131404
E07000066,Basildon,0.4292079839623176,0.2976528605127952,0.2731391555248872
E07000067,Braintree,0.8490601549716408,0.09554937215180208,0.05531669782903896
E07000068,Brentwood,0.6651173818558593,0.2399784323993537,0.09485323621086336
E07000069,Castle Point,0.1511066303283622,0.3346251155725055,0.5142682540991323
E07000070,Chelmsford,0.7358864997355127,0.16655518657012483,0.0973880722942098
E07000071,Colchester,0.7255511470316107,0.1615906030895761,0.11262414715556483
E07000072,Epping Forest,0.7187286237531827,0.19496222696788434,0.08630914927893298
E07000073,Harlow,0.5291110287875579,0.18953263803831513,0.281356333174127
E07000074,Maldon,0.8149110858833748,0.13192269373302914,0.05128846669958768
E07000075,Rochford,0.8672665897637986,0.05655469020802955,0.0761787200281719
E07000076,Tendring,0.7374251945967493,0.08158329620831578,0.18062392278167788
E07000077,Uttlesford,0.8572022789379871,0.1021000690079236,0.040439097733690754
E07000078,Cheltenham,0.09192401131279423,0.2787730322441621,0.6293029564430436
E07000079,Cotswold,0.6304592000982697,0.3116467359796117,0.057824511473706104
E07000080,Forest of Dean,0.46743239203302955,0.4476572157022201,0.08366086503251137
E07000081,Gloucester,0.07577334185667611,0.21263113361823446,0.7115955245250895
E07000082,Stroud,0.287474616583853,0.48765378049091024,0.22323634982509524
E07000083,Tewkesbury,0.606826012474416,0.2263868755453874,0.16678711198019655
E07000084,Basingstoke and Deane,0.5886686202703568,0.32284113132368797,0.0878158790274282
E07000085,East Hampshire,0.5378665194250808,0.355456143168582,0.10645687391494232
E07000086,Eastleigh,0.23251036792278534,0.3526113739661607,0.41477987223131796
E07000087,Fareham,0.26291688070368363,0.27207198030594315,0.4648760113445928
E07000088,Gosport,0.19181357230076512,0.26712470939928834,0.5410617182999465
E07000089,Hart,0.4503341325468431,0.3937948016928005,0.15587106576035628
E07000090,Havant,0.15942928764742953,0.28660965689234746,0.553961055460223
E07000091,New Forest,0.28646541548188886,0.6187258481921295,0.09470363241898595
E07000092,Rushmoor,0.3143932624772895,0.3426917345933395,0.342915002929371
E07000093,Test Valley,0.6687109451582538,0.2605383254058259,0.0690697877490778
E07000094,Winchester,0.6690302311760437,0.24738045869080624,0.08143556004027042
E07000095,Broxbourne,0.18974127541149693,0.4942927384421999,0.31596598614630317
E07000096,Dacorum,0.5965916724758746,0.23766701623679562,0.1656621112667829
E07000098,Hertsmere,0.5365450109473461,0.2605355159627279,0.20291947308992597
E07000099,North Hertfordshire,0.7812159590190699,0.12640566331357664,0.09231264383894168
E07000102,Three Rivers,0.3582296670063636,0.34223763637492416,0.29953269661871224
E07000103,Watford,0.08122496656129835,0.3129658564317415,0.6058091770069601
E07000105,Ashford,0.6342982761216648,0.27567580848407697,0.08500729988338471
E07000106,Canterbury,0.5997538125387538,0.2579097374769573,0.1380812076716682
E07000107,Dartford,0.30105335890276486,0.2908375905437431,0.408109050553492
E07000108,Dover,0.7646989190489938,0.1265502331586049,0.1085073068718623
E07000109,Gravesham,0.433614808127532,0.3173717894440249,0.2289839689905144
E07000110,Maidstone,0.5339871175536958,0.25678143510368445,0.19799862538740987
E07000111,Sevenoaks,0.4197445910486845,0.40210510710134373,0.17697785638173527
E07000112,Folkestone and Hythe,0.7932541868331803,0.11129651415849305,0.09544929900832674
E07000113,Swale,0.6657256787143959,0.18258394830147465,0.15150191288327855
E07000114,Thanet,0.5858268446984587,0.14479504389479986,0.2693781114067416
E07000115,Tonbridge and Malling,0.326999809669238,0.37179663922140654,0.29657480998318175
E07000116,Tunbridge Wells,0.306899068766169,0.5302294323344383,0.15762815869038
E07000117,Burnley,0.06903080373548362,0.8231449776477111,0.10782421861680537
E07000118,Chorley,0.1892607203868739,0.6115503886831009,0.1991888909300252
E07000119,Fylde,0.5069785392206585,0.13750113786003035,0.35552032291931096
E07000120,Hyndburn,0.458127796721185,0.31140059592340547,0.23047160735540959
E07000121,Lancaster,0.23279721148635102,0.7090103497741203,0.05819243873952863
E07000122,Pendle,0.0360247883949463,0.8546967306352659,0.10927848096978783
E07000123,Preston,0.25141558528077934,0.24928466007024797,0.49929975464897264
E07000124,Ribble Valley,0.06068326289524198,0.876707960528327,0.06260877657643106
E07000125,Rossendale,0.3247920420895261,0.5978975390921225,0.07731041881835136
E07000126,South Ribble,0.26175867933566827,0.25445348698037223,0.48378783368395945
E07000127,West Lancashire,0.6861040698164895,0.1263032920836874,0.18759263809982316
E07000128,Wyre,0.5720450555497347,0.3091586873336735,0.11879625711659178
E07000129,Blaby,0.4877535414552893,0.14794922450172576,0.3642972340429848
E07000130,Charnwood,0.3582226629046008,0.3270103886708796,0.31470453400512244
E07000131,Harborough,0.7446651851567647,0.1413343410267616,0.11400047381647363
E07000132,Hinckley and Bosworth,0.662476224211854,0.12403492427478928,0.21348885151335675
E07000133,Melton,0.7853375648745986,0.14408764774311433,0.07057478738228705
E07000134,North West Leicestershire,0.30154619663435384,0.39354994103707497,0.3049038623285712
E07000135,Oadby and Wigston,0.229363553203625,0.18120959123307168,0.5894268555633032
E07000136,Boston,0.9195781295940757,0.040297865828833754,0.04012400457709055
E07000137,East Lindsey,0.8135706127370308,0.13537561737037296,0.05101533504457295
E07000138,Lincoln,0.23879086662224983,0.1875187604554919,0.5736584496445426
E07000139,North Kesteven,0.8705984914640287,0.0771360401172501,0.052245228958001856
E07000140,South Holland,0.9555273018640471,0.009411141038020321,0.03506155709793261
E07000141,South Kesteven,0.8358271923203214,0.10802807746207743,0.056120382131984156
E07000142,West Lindsey,0.7820051057641692,0.15719555801204588,0.060799336223785035
E07000143,Breckland,0.558549922734359,0.3686095777648607,0.07280167885275107
E07000144,Broadland,0.6006964672809777,0.2460968393550676,0.1530071071882397
E07000145,Great Yarmouth,0.22052543939722194,0.3296453200648723,0.44982924053790574
E07000146,King's Lynn and West Norfolk,0.7633171150953475,0.18018900389879186,0.056399460064856057
E07000147,North Norfolk,0.4458092937412098,0.4255147731315396,0.12781299425913106
E07000148,Norwich,0.04977238722963651,0.2657109991119242,0.6845166136584393
E07000149,South Norfolk,0.7921329456440157,0.11112536698374079,0.09642460921088349
E07000163,Craven,0.14549053587787733,0.8440720837455893,0.010437380376533304
E07000164,Hambleton,0.2339876649528433,0.6944936760173639,0.07151865902979282
E07000165,Harrogate,0.22218904930991903,0.7182769252260641,0.059431807078232465
E07000166,Richmondshire,0.17658543463727633,0.8116983255938731,0.011716239768850618
E07000167,Ryedale,0.3110049238730814,0.6686547281777013,0.020301714264506082
E07000168,Scarborough,0.24832178054909892,0.7146544835559671,0.03702373589493409
E07000169,Selby,0.7444137507556713,0.1641853009459247,0.09140094829840391
E07000170,Ashfield,0.2197652842128334,0.36233212269700343,0.4179025930901631
E07000171,Bassetlaw,0.7111340638415087,0.20225086909023113,0.08661506706826021
E07000172,Broxtowe,0.32113359112568524,0.23095187824473967,0.44791453062957504
E07000173,Gedling,0.4808150877355198,0.24628937868977252,0.27289553357470775
E07000174,Mansfield,0.16862618279807987,0.45529976782376463,0.3760740493781556
E07000175,Newark and Sherwood,0.5067443640506741,0.3674597954122114,0.12579584053711437
E07000176,Rushcliffe,0.696814219443538,0.12938976133870503,0.17346673477809552
E07000177,Cherwell,0.7282933306450537,0.1393801980151657,0.13232647133978057
E07000178,Oxford,0.23267059922933464,0.3301002439106336,0.43722915686003166
E07000179,South Oxfordshire,0.6867033998966476,0.2192977677625698,0.09352063505122189
E07000180,Vale of White Horse,0.7162064338890921,0.17718497154262922,0.10651693461440911
E07000181,West Oxfordshire,0.5786535123990199,0.3131801155328609,0.1081332560515848
E07000187,Mendip,0.3213730176780409,0.6179713497111367,0.060583747892229804
E07000188,Sedgemoor,0.2333816381846192,0.7036017595446455,0.06296398805826654
E07000189,South Somerset,0.4165065051944824,0.5149308733015644,0.06712184847393711
E07000192,Cannock Chase,0.14365375815622572,0.6610882964764598,0.19525794536731444
E07000193,East Staffordshire,0.375595908681066,0.3392410615660079,0.285163029752926
E07000194,Lichfield,0.5277447901169494,0.33442275545854966,0.13771728277830977
E07000195,Newcastle-under-Lyme,0.3181285035246478,0.3573030429438806,0.32456845353147146
E07000196,South Staffordshire,0.6687374888493809,0.24077855606051726,0.09028636833732118
E07000197,Stafford,0.4241425919289095,0.39769801241810415,0.17812158943647852
E07000198,Staffordshire Moorlands,0.26804644952706685,0.566159349227573,0.16579420124536004
E07000199,Tamworth,0.29378123067990763,0.21152140973420988,0.4946973595858825
E07000200,Babergh,0.8206889395909561,0.1097112833302093,0.06915982570788884
E07000202,Ipswich,0.1015042650686137,0.24018530083873485,0.6583104340926514
E07000203,Mid Suffolk,0.8040584584473428,0.11098488971174127,0.08495665184091591
E07000207,Elmbridge,0.19095485797014342,0.4060305917974757,0.4029434863878466
E07000208,Epsom and Ewell,0.09212735676699048,0.3993690249723526,0.5085036182606569
E07000209,Guildford,0.37363060990509483,0.4562678748428189,0.16910169081628967
E07000210,Mole Valley,0.4497813512027601,0.43963791285155795,0.10412363349922171
E07000211,Reigate and Banstead,0.3874392194926882,0.31656195993351643,0.2958902444149411
E07000212,Runnymede,0.1643459999266637,0.5034480629803509,0.3322059370929853
E07000213,Spelthorne,0.14534092312397848,0.3852333529406935,0.46942572393532794
E07000214,Surrey Heath,0.2886326709931511,0.4978082788894554,0.21355905011739362
E07000215,Tandridge,0.4578042981675192,0.32365454401266597,0.2183981298007849
E07000216,Waverley,0.33524965403714435,0.5041108058504189,0.16063954011243683
E07000217,Woking,0.1655217156411069,0.41356312266394135,0.42091516169495174
E07000218,North Warwickshire,0.7833656072218146,0.12201589616317127,0.09461849661501419
E07000219,Nuneaton and Bedworth,0.6139221769828674,0.10690462566097743,0.2791731973561552
E07000220,Rugby,0.829445209232668,0.08581394410069507,0.08474084666663687
E07000221,Stratford-on-Avon,0.8553823102468863,0.08961616170764386,0.054984619014901995
E07000222,Warwick,0.7405892453918079,0.12306884322507797,0.136341911383114
E07000223,Adur,0.41538433876649083,0.18439804812777133,0.39960710994404497
E07000224,Arun,0.31700744354762084,0.3523902457283872,0.3298932156429826
E07000225,Chichester,0.42131820167586587,0.4919792677087741,0.08290712119633885
E07000226,Crawley,0.14971664867476808,0.3754677851888687,0.47481556613636317
E07000227,Horsham,0.5485700537618405,0.33797166242381826,0.10970970370222141
E07000228,Mid Sussex,0.2656294321958623,0.5164229807315331,0.21134741428343268
E07000229,Worthing,0.1176228576783768,0.2033856567776534,0.6789914855439697
E07000234,Bromsgrove,0.7200798005951828,0.1433329032472664,0.13658729615755064
E07000235,Malvern Hills,0.7760247561409059,0.16449710249211413,0.05832871407752441
E07000236,Redditch,0.6307307804523623,0.15086540223288814,0.21840381731474945
E07000237,Worcester,0.3012984053873142,0.14747318312106547,0.5512284114916203
E07000238,Wychavon,0.8302768726649803,0.08969239862587328,0.08003072870914651
E07000239,Wyre Forest,0.584168314166682,0.29574772060980375,0.12008396522351424
E07000240,St Albans,0.5133672425998305,0.26474979040143903,0.22188296699873045
E07000241,Welwyn Hatfield,0.451461702577332,0.37059984974346,0.177938447679208
E07000242,East Hertfordshire,0.7347350622652828,0.1891633383443813,0.07569937450255333
E07000243,Stevenage,0.14977191448636532,0.32918840009402883,0.5210396854196058
E07000244,East Suffolk,0.5425942890498208,0.3312439323033994,0.1260273270624379
E07000245,West Suffolk,0.6669245988050371,0.2792131785856345,0.05379988564487512
E07000246,Somerset West and Taunton,0.5078938906130114,0.4505439709392486,0.04156213844773994
E08000001,Bolton,0.21770505810490437,0.4731513006961526,0.30914364119894294
E08000002,Bury,0.34122114665908837,0.3336559822080873,0.3251228711328243
E08000003,Manchester,0.02591060750667065,0.2680428456255735,0.7060465468677558
E08000004,Oldham,0.08408742887687462,0.7798528713628298,0.13605969976029572
E08000005,Rochdale,0.15993144285037308,0.6848499650925701,0.15521859205705688
E08000006,Salford,0.21987224146019935,0.2715176604137746,0.5086100981260261
E08000007,Stockport,0.24692897652222182,0.22058217708497851,0.5324888463927996
E08000008,Tameside,0.1197252913138681,0.7054541413493743,0.17482056733675758
E08000009,Trafford,0.2599365400070871,0.17983997031240118,0.5602234896805118
E08000010,Wigan,0.32737187909949805,0.29847536451303763,0.37415275638746437
E08000011,Knowsley,0.3328586932342853,0.24177254098880277,0.4253687657769119
E08000012,Liverpool,0.050873758013257206,0.24736786406269512,0.7017583779240477
E08000013,St. Helens,0.5503179645222371,0.20504927398231657,0.2446327614954463
E08000014,Sefton,0.29896458196265585,0.2003457812634134,0.5006896367739306
E08000015,Wirral,0.3170016320624388,0.19029317510697188,0.4927051928305893
E08000016,Barnsley,0.28869231737719125,0.6165211779393587,0.09478650468345008
E08000017,Doncaster,0.6047516152093234,0.24279247866466444,0.15245590612601229
E08000018,Rotherham,0.5366775390789319,0.20239849816123429,0.2609239627598338
E08000019,Sheffield,0.1754701635806422,0.6057476956867126,0.21875338089311627
E08000021,Newcastle upon Tyne,0.32883811030507437,0.20623354768367416,0.46492834201125144
E08000022,North Tyneside,0.26293369006586836,0.191729007329855,0.5453373026042766
E08000023,South Tyneside,0.2525335260945418,0.19864756891282004,0.5488189049926381
E08000024,Sunderland,0.17672054598356762,0.2297242953820506,0.5935551586343818
E08000025,Birmingham,0.104658545333752,0.28699846946156105,0.608342985204687
E08000026,Coventry,0.3327165503521097,0.17159359554261835,0.4956898541052719
E08000027,Dudley,0.19060213958033626,0.2580616070165132,0.5513362534031504
E08000028,Sandwell,0.039120364170415846,0.3014862282754077,0.6593934075541765
E08000029,Solihull,0.5678301736902288,0.15740835944258183,0.27476146686718933
E08000030,Walsall,0.23068902245028847,0.33659694206227886,0.43271403548743265
E08000031,Wolverhampton,0.12935706340626885,0.20036212209548113,0.6702808144982502
E08000032,Bradford,0.2131652229846082,0.543573528813633,0.24326124820175887
E08000033,Calderdale,0.10442865114871523,0.7876938785880753,0.10787747026320943
E08000034,Kirklees,0.3209670045800502,0.5219054007386242,0.15706783157677554
E08000035,Leeds,0.4886578743722155,0.2462281212184415,0.26507806506874965
E08000036,Wakefield,0.5577840728415665,0.19812046932328764,0.2440954578351459
E08000037,Gateshead,0.29399910458924,0.3216008817168408,0.38440001369391913
E09000001,City of London,0.0,0.02825313533945349,0.9717468646605465
E09000002,Barking and Dagenham,0.12108866909471123,0.24072280876613208,0.6381885221391567
E09000003,Barnet,0.15850666372718494,0.2782108398056741,0.5632824964671409
E09000004,Bexley,0.04508207265451478,0.2680913896231281,0.6868265377223571
E09000005,Brent,0.006774991577141593,0.19065075379474025,0.8025742546281182
E09000006,Bromley,0.25845039255697466,0.2943526970461141,0.4471969103969111
E09000007,Camden,0.0037812458610056165,0.35545325473902595,0.6407654993999686
E09000008,Croydon,0.0621589116003193,0.29937399716489504,0.6384670912347857
E09000009,Ealing,0.03995908579934649,0.28765914406631143,0.672381770134342
E09000010,Enfield,0.2332275886295611,0.26126382311550433,0.5055085882549345
E09000011,Greenwich,0.02941346792038018,0.22877293054633394,0.7418136015332858
E09000012,Hackney,0.009494641907251258,0.4483982507681748,0.5421071073245738
E09000013,Hammersmith and Fulham,0.007420807809783,0.21024093215157444,0.7823382600386425
E09000014,Haringey,0.01230347556177394,0.4077987422196031,0.5798977822186231
E09000015,Harrow,0.08982641783300524,0.22788292111535854,0.6822906610516362
E09000016,Havering,0.35941798994405955,0.28937141478851514,0.3512105952674254
E09000017,Hillingdon,0.16872884971354246,0.3737551687761611,0.45751598151029643
E09000018,Hounslow,0.052702488263068434,0.3513780478747169,0.5959194638622147
E09000019,Islington,0.004373164663756212,0.14237268330018457,0.8532541520360594
E09000020,Kensington and Chelsea,0.0,0.31643908930333914,0.6835609106966607
E09000021,Kingston upon Thames,0.06863605924628233,0.4622261489035567,0.4691377918501609
E09000022,Lambeth,0.005017568989990506,0.1911237718955332,0.8038586591144763
E09000023,Lewisham,0.006840036001019823,0.22683331085143763,0.7663266531475426
E09000024,Merton,0.01329244075952678,0.4102202681849133,0.5764872910555601
E09000025,Newham,0.006725800503243221,0.3399109954625501,0.6533632040342067
E09000026,Redbridge,0.11019561433491235,0.35403408001993164,0.535770305645156
E09000027,Richmond upon Thames,0.018317734630601067,0.565725504155711,0.415956761213688
E09000028,Southwark,0.006538304977275474,0.23475607003288504,0.7587056249898396
E09000029,Sutton,0.06851556471384579,0.2701586017890307,0.6613258334971235
E09000030,Tower Hamlets,0.004893661632279872,0.32108348941291553,0.6740228489548047
E09000031,Waltham Forest,0.03911214160722805,0.4594422364612004,0.5014456219315715
E09000032,Wandsworth,0.0035409314850477986,0.5573984373696883,0.439060631145264
E09000033,Westminster,0.007751060567376235,0.49066558706181507,0.5015833523708086
S12000006,Dumfries and Galloway,0.030381365771554626,0.9696110378867588,7.596341686483259e-06
S12000026,Scottish Borders,0.04397243612923952,0.9546087116536085,0.0014188522171519674
W06000004,Denbighshire,0.0,1.0,0.0
W06000005,Flintshire,0.9183965497244048,0.018921685025110893,0.06268176525048445
W06000006,Wrexham,0.23865341930889544,0.7074599864769565,0.05388659421414803
W06000021,Monmouthshire,0.20289089665829185,0.7852981049873553,0.011734653058285423
W06000023,Powys,0.43370622706719636,0.5531973702523609,0.013096402680442723
